date,home,away,home_score,away_score
2025-09-05,Ubly,Clarkston Everest Collegiate,22,14
2025-09-05,Utica Ford,Warren Woods Tower,41,0
2025-09-05,Vermontville Maple Valley,Union City,7,36
2025-09-05,Walled Lake Northern,White Lake Lakeland,20,48
2025-09-05,Warren Cousino,Grosse Pointe North,33,0
2025-09-05,Warren Lincoln,St Clair,12,58
2025-09-05,Warren Mott,St Clair Shores Lake Shore,40,7
2025-09-05,Waterford Mott,Milford,28,27
2025-09-05,Watervliet,Niles Brandywine,32,31
2025-09-05,Wayland,Sparta,35,36
2025-09-05,Wayne Memorial,Livonia Stevenson,0,35
2025-09-05,West Bloomfield,Southfield Arts & Technology,37,0
2025-09-05,West Chicago Wheaton Academy (IL),Grand Rapids Christian,21,28
2025-09-05,White Cloud,Harrison,0,62
2025-09-05,Whitehall,Muskegon Orchard View,48,22
2025-09-05,Whitmore Lake,Ann Arbor Father Gabriel Richard,20,42
2025-09-05,Wyandotte Roosevelt,Trenton,13,48
2025-09-05,Ypsilanti Community,Ypsilanti Lincoln,26,27
2025-09-05,Zeeland West,Holland West Ottawa,28,24
2025-09-06,Detroit Denby,Garfield Heights (OH),8,32
2025-09-06,Grosse Pointe Woods University Liggett,Detroit Country Day,0,61
2025-09-06,Harbor Beach,Ottawa Lake Whiteford,43,14
2025-09-06,Melvindale Academy for Business & Tech,Arts & Technology Academy of Pontiac,26,16
2025-09-06,Mount Pleasant Sacred Heart,Madison Heights Bishop Foley,22,12
2025-09-06,Sault Ste Marie,Shepherd,0,34
2025-09-06,Vestaburg,Detroit Communication Media Arts,20,22
2025-09-06,Warren Michigan Collegiate,Detroit Edison,24,0
2025-09-06,West Unity Hilltop (OH),Antwerp (OH),0,36
2025-09-08,New Market Huron Heights (CN),Bedford St Peter Chanel (OH),30,0
2025-09-11,Detroit Central,Detroit Communication Media Arts,34,14
2025-09-11,Detroit East English,Detroit Western,26,8
2025-09-11,Detroit Southeastern,Detroit Martin Luther King,0,48
2025-09-11,Muskegon Catholic Central,Wyoming Lee,1,0
2025-09-12,Ada Forest Hills Eastern,Hudsonville Unity Christian,7,35
2025-09-12,Akron Archbishop Hoban (OH),Akron East (OH),52,0
2025-09-12,Alma,Frankenmuth,21,70
2025-09-12,Ann Arbor Father Gabriel Richard,Detroit University Prep Science & Math,59,24
2025-09-12,Ann Arbor Pioneer,Saline,0,51
2025-09-12,Ann Arbor Skyline,Monroe,13,20
2025-09-12,Armada,Algonac,49,0
2025-09-12,Auburn Hills Avondale,Macomb Lutheran North,7,50
2025-09-12,Auburn Hills Oakland Christian,Whitmore Lake,32,49
2025-09-12,Auburndale (WI),Pittsville (WI),41,0
2025-09-12,Bath,Pewamo-Westphalia,0,55
2025-09-12,Battle Creek Central,Battle Creek Lakeview,39,13
2025-09-12,Bay City Central,Traverse City West,13,40
2025-09-12,Beal City,Roscommon,63,8
2025-09-12,Beaverton,Farwell,54,36
2025-09-12,Belleville,Livonia Stevenson,39,7
2025-09-12,Benzie Central,Traverse City St Francis,20,56
2025-09-12,Big Rapids,Newaygo,56,0
2025-09-12,Bloomfield Hills Brother Rice,Toledo Central Catholic (OH),14,28
2025-09-12,Bloomfield Hills Cranbrook Kingswood,Waterford Our Lady of the Lakes,15,25
2025-09-12,Bronson,Hartford,46,19
2025-09-12,Brooklyn Columbia Central,Grass Lake,48,0
2025-09-12,Buchanan,Battle Creek Pennfield,20,23
2025-09-12,Burton Atherton,Flint Beecher,20,0
2025-09-12,Burton Bentley,Burton Bendle,17,22
2025-09-12,Byron Center,Hammond Morton (IN),34,17
2025-09-12,Cadillac,Sault Ste Marie,43,0
2025-09-12,Carleton Airport,Riverview,6,38
2025-09-12,Cass City,Elkton-Pigeon-Bay Port Laker,13,18
2025-09-12,Cedar Springs,Greenville,31,21
2025-09-12,Centreville,Comstock,41,8
2025-09-12,Cheboygan,Boyne City,14,30
2025-09-12,Chelsea,Adrian,29,12
2025-09-12,Cincinnati Elder (OH),Cincinnati La Salle (OH),16,8
2025-09-12,Cincinnati Moeller (OH),Nashville Christ Presbyterian Academy (TN),49,28
2025-09-12,Clarkston Everest Collegiate,Riverview Gabriel Richard,43,0
2025-09-12,Clinton,Blissfield,42,0
2025-09-12,Clinton Township Clintondale,Warren Lincoln,40,0
2025-09-12,Coldwater,Battle Creek Harper Creek,28,49
2025-09-12,Coloma,South Haven,34,44
2025-09-12,Comstock Park,Wyoming Godwin Heights,41,44
2025-09-12,Constantine,Schoolcraft,14,32
2025-09-12,Coopersville,Lowell,20,33
2025-09-12,Corunna,Clio,22,48
2025-09-12,Dansville,Flint New Standard Academy,8,56
2025-09-12,Dearborn Advanced Tech Academy,Royal Oak Shrine Catholic,0,1
2025-09-12,Dearborn Divine Child,Ypsilanti Community,43,0
2025-09-12,Dearborn Fordson,Livonia Franklin,33,21
2025-09-12,Dearborn Heights Crestwood,Dearborn Heights Annapolis,41,0
2025-09-12,Decatur,Springport,0,14
2025-09-12,Delton Kellogg,Watervliet,14,20
2025-09-12,Detroit Cass Tech,Detroit Renaissance,71,0
2025-09-12,Detroit Catholic Central,Clarkson Football North (CN),41,28
2025-09-12,Detroit Cody,Detroit Northwestern,14,24
2025-09-12,Detroit Community,Redford Westfield Prep,24,14
2025-09-12,Detroit Denby,Detroit Pershing,24,6
2025-09-12,Detroit Edison,Romulus Summit Academy North,26,14
2025-09-12,Detroit Henry Ford,Detroit Mumford,30,14
2025-09-12,Detroit Leadership Academy,Melvindale Academy for Business & Tech,6,53
2025-09-12,Detroit Lincoln-King,Warren Michigan Collegiate,0,1
2025-09-12,Detroit Loyola,Detroit Country Day,8,55
2025-09-12,Detroit Osborn,Detroit Douglass,20,6
2025-09-12,Detroit U of D Jesuit,Windsor Holy Names (CN),28,29
2025-09-12,Detroit University Prep,Bridgeport,20,18
2025-09-12,DeWitt,Lansing Waverly,55,0
2025-09-12,Dexter,Ann Arbor Huron,48,16
2025-09-12,Dowagiac,Benton Harbor,69,12
2025-09-12,Dundee,Adrian Madison,3,40
2025-09-12,East Grand Rapids,Grand Rapids Christian,38,7
2025-09-12,East Jordan,Kalkaska,20,24
2025-09-12,Ecorse,Detroit Voyageur College Prep,14,12
2025-09-12,Edon (OH),Petersburg Summerfield,49,20
2025-09-12,Essexville Garber,Bay City John Glenn,13,43
2025-09-12,Evart,Lake City,49,14
2025-09-12,Farmington,North Farmington,35,22
2025-09-12,Fenton,Flushing,41,12
2025-09-12,Ferndale,Royal Oak,46,14
2025-09-12,Flint Carman-Ainsworth,Holt,18,53
2025-09-12,Flint Kearsley,Linden,19,49
2025-09-12,Fowler,Saranac,34,6
2025-09-12,Fowlerville,St Johns,26,27
2025-09-12,Frankfort,Johannesburg-Lewiston,41,30
2025-09-12,Galesburg-Augusta,Allegan,37,7
2025-09-12,Galloway Westland (OH),Worthington Kilbourne (OH),38,48
2025-09-12,Garden City,Redford Union,6,56
2025-09-12,Genesee,Flint Southwestern,40,0
2025-09-12,Gladwin,Ogemaw Heights,14,49
2025-09-12,Goodrich,Ortonville Brandon,48,7
2025-09-12,Grand Blanc,Saginaw Heritage,56,27
2025-09-12,Grand Haven,Rockford,24,42
2025-09-12,Grand Ledge,East Lansing,45,27
2025-09-12,Grand Rapids Forest Hills Central,Grand Rapids Forest Hills Northern,10,42
2025-09-12,Grand Rapids South Christian,Grand Rapids West Catholic,20,27
2025-09-12,Grosse Ile,Flat Rock,13,57
2025-09-12,Grosse Pointe North,Madison Heights Lamphere,21,23
2025-09-12,Grosse Pointe South,Utica,35,14
2025-09-12,Hamilton,Grand Rapids Union,14,8
2025-09-12,Hamilton St Thomas More (CN),London Stoney Creek (ON),21,14
2025-09-12,Hanover-Horton,Michigan Center,14,53
2025-09-12,Harbor Springs,Maple City Glen Lake,6,44
2025-09-12,Harper Woods,Birmingham Groves,35,8
2025-09-12,Harrison Township L'Anse Creuse,Macomb L'Anse Creuse North,27,25
2025-09-12,Haslett,Lansing Eastern,49,8
2025-09-12,Hastings,Jackson Northwest,58,34
2025-09-12,Hazel Park,New Haven,49,7
2025-09-12,Hemlock,Carrollton,47,8
2025-09-12,Hesperia,White Cloud,53,14
2025-09-12,Hillsdale,Ida,7,56
2025-09-12,Holland,Holland Christian,21,40
2025-09-12,Holland West Ottawa,Grandville,14,27
2025-09-12,Homer,Leslie,0,42
2025-09-12,Houghton,Hancock,42,0
2025-09-12,Howard City Tri County,Grant,55,9
2025-09-12,Howards Grove (WI),Hilbert (WI),22,44
2025-09-12,Hudson,Onsted,52,21
2025-09-12,Hudsonville,Caledonia,38,6
2025-09-12,Ionia,Eaton Rapids,30,33
2025-09-12,Jackson Lumen Christi,Grand Rapids Catholic Central,14,28
2025-09-12,Jenison,East Kentwood,7,54
2025-09-12,Kalamazoo Central,Richland Gull Lake,47,19
2025-09-12,Kalamazoo Loy Norrix,St Joseph,25,51
2025-09-12,Kent City,Morley Stanwood,40,0
2025-09-12,Kingsford,Gladstone,25,13
2025-09-12,Kingsley,Grayling,48,21
2025-09-12,L'Anse,Gwinn,1,0
2025-09-12,LaGrange Prairie Heights (IN),Albion Central Noble (IN),26,35
2025-09-12,Lake Odessa Lakewood,Charlotte,13,17
2025-09-12,Lakeview,Central Montcalm,6,46
2025-09-12,Lansing Catholic,Lansing Sexton,25,40
2025-09-12,Lawton,Kalamazoo Hackett Catholic Prep,22,19
2025-09-12,LeRoy Pine River,Houghton Lake,24,0
2025-09-12,Lincoln Park,Brownstown Woodhaven,0,49
2025-09-12,Lombard Montini (IL),Chicago Marist (IL),28,21
2025-09-12,Ludington,Fremont,49,0
2025-09-12,Madison Heights Madison,Clawson,48,14
2025-09-12,Manistique,Iron Mountain,8,35
2025-09-12,Manton,McBain,38,56
2025-09-12,Marlette,Unionville-Sebewaing,6,44
2025-09-12,Marshall,Parma Western,41,6
2025-09-12,Mason,Williamston,0,28
2025-09-12,Mason County Central,North Muskegon,21,49
2025-09-12,Melvindale,Redford Thurston,8,56
2025-09-12,Menominee,Ishpeming Westwood,50,8
2025-09-12,Midland,Bay City Western,14,10
2025-09-12,Midland Bullock Creek,Clare,28,62
2025-09-12,Milan,Monroe Jefferson,21,52
2025-09-12,Millington,Sandusky,55,20
2025-09-12,Montrose,Durand,45,0
2025-09-12,Mount Pleasant,Midland Dow,63,39
2025-09-12,Mt Morris,Birch Run,16,29
2025-09-12,Muskegon Mona Shores,Flint Hamady,64,0
2025-09-12,Muskegon Oakridge,Manistee,27,8
2025-09-12,Muskegon Orchard View,Montague,20,54
2025-09-12,Negaunee,Calumet,18,33
2025-09-12,New Lenox Lincoln Way West (IL),Tinley Park Andrew (IL),17,7
2025-09-12,New Lothrop,Chesaning,35,7
2025-09-12,New Market Huron Heights (CN),Toronto Michael Powers St Joseph (CN),42,7
2025-09-12,Niles Brandywine,Saugatuck,18,64
2025-09-12,North Branch,Imlay City,33,7
2025-09-12,Novi,Brighton,0,35
2025-09-12,Oak Park,Troy Athens,44,17
2025-09-12,Okemos,Lansing Everett,13,20
2025-09-12,Olivet,Portland,0,35
2025-09-12,Otsego,Three Rivers,6,31
2025-09-12,Ottawa Lake Whiteford,West Unity Hilltop (OH),63,6
2025-09-12,Ovid-Elsie,Otisville LakeVille Memorial,38,12
2025-09-12,Owosso,Lake Fenton,38,35
2025-09-12,Oxford,Clarkston,17,38
2025-09-12,Parchment,Berrien Springs,14,31
2025-09-12,Paw Paw,Niles,14,30
2025-09-12,Perry,Laingsburg,15,27
2025-09-12,Pinckney,Jackson,34,37
2025-09-12,Plainwell,Vicksburg,6,49
2025-09-12,Plymouth,Hartland,7,42
2025-09-12,Pontiac,Berkley,0,43
2025-09-12,Pontiac Notre Dame Prep,Gibraltar Carlson,21,42
2025-09-12,Port Huron Northern,Utica Ford,35,6
2025-09-12,Portage Central,Stevensville Lakeshore,57,0
2025-09-12,Portage Northern,Mattawan,49,21
2025-09-12,Reed City,Remus Chippewa Hills,42,0
2025-09-12,Richmond,Croswell-Lexington,28,10
2025-09-12,River Rouge,Toledo St John's Jesuit (OH),18,29
2025-09-12,Rochester,Lake Orion,23,21
2025-09-12,Rochester Hills Lutheran Northwest,Allen Park Cabrini,7,41
2025-09-12,Rochester Hills Stoney Creek,Southfield Arts & Technology,40,18
2025-09-12,Saginaw Michigan Lutheran Seminary,Ithaca,40,42
2025-09-12,Saginaw Swan Valley,Freeland,31,7
2025-09-12,Saginaw Valley Lutheran,Saginaw Nouvel Catholic Central,27,20
2025-09-12,Salem,Canton,61,6
2025-09-12,Shelby,Hart,28,18
2025-09-12,South Lyon,Walled Lake Northern,48,0
2025-09-12,South Lyon East,White Lake Lakeland,37,40
2025-09-12,Southgate Anderson,Allen Park,10,0
2025-09-12,Sparta,Grand Rapids Northview,0,49
2025-09-12,Spring Lake,Muskegon Reeths-Puffer,28,35
2025-09-12,St Clair,Marine City,20,56
2025-09-12,St Clair Shores Lake Shore,Warren Woods Tower,26,20
2025-09-12,St Clair Shores Lakeview,Roseville,7,32
2025-09-12,St Clair Shores South Lake,Eastpointe,60,8
2025-09-12,St John Lake Central (IN),Crown Point (IN),0,42
2025-09-12,Standish-Sterling,Shepherd,0,37
2025-09-12,Sterling Heights,Center Line,0,54
2025-09-12,Sterling Heights Stevenson,Clinton Township Chippewa Valley,24,21
2025-09-12,Stockbridge,Quincy,29,40
2025-09-12,Sturgis,Edwardsburg,13,42
2025-09-12,Swartz Creek,Holly,28,36
2025-09-12,Tawas,Charlevoix,7,54
2025-09-12,Temperance Bedford,Mansfield (MA),21,35
2025-09-12,Toledo Ottawa Hills (OH),Pioneer North Central (OH),39,18
2025-09-12,Toledo Whitmer (OH),Fremont Ross (OH),27,6
2025-09-12,Traverse City Central,Davison,14,31
2025-09-12,Trenton,Dearborn Edsel Ford,63,0
2025-09-12,Troy,Flint Powers Catholic,28,14
2025-09-12,Ubly,Harbor Beach,6,33
2025-09-12,Union City,Sand Creek,36,18
2025-09-12,Utica Eisenhower,Romeo,28,34
2025-09-12,Vandercook Lake,East Jackson,42,0
2025-09-12,Vassar,Reese,20,42
2025-09-12,Walled Lake Central,Livonia Clarenceville,45,15
2025-09-12,Walled Lake Western,Waterford Mott,34,42
2025-09-12,Warren De La Salle Collegiate,Orchard Lake St Mary's,10,49
2025-09-12,Warren Fitzgerald,Marysville,21,19
2025-09-12,Warren Mott,Port Huron,21,28
2025-09-12,Waterford Kettering,Milford,6,45
2025-09-12,Wayland,Middleville Thornapple Kellogg,14,41
2025-09-12,West Chicago Wheaton Academy (IL),Palos Heights Chicago Christian (IL),49,14
2025-09-12,West Iron County,Bark River-Harris,14,42
2025-09-12,Westland John Glenn,Dearborn,41,43
2025-09-12,White Pigeon,Cassopolis,72,12
2025-09-12,Wyandotte Roosevelt,Taylor,7,0
2025-09-12,Wyoming,Grand Rapids Ottawa Hills,20,12
2025-09-12,Wyoming Kelloggsville,Fruitport,8,49
2025-09-12,Yale,Almont,34,49
2025-09-12,Ypsilanti Lincoln,Tecumseh,21,17
2025-09-12,Zeeland West,Whitehall,28,35
2025-09-13,Erie Mason,Montpelier (OH),6,48
2025-09-13,Gaylord,Marquette,28,27
2025-09-13,Grosse Pointe Woods University Liggett,Madison Heights Bishop Foley,14,6
2025-09-13,Marine City Cardinal Mooney,Caro,7,46
2025-09-13,Morris (IL),Peoria (IL),35,28
2025-09-13,Mount Clemens,Southfield Bradford Academy,0,28
2025-09-13,Vestaburg,Mount Pleasant Sacred Heart,7,49
2025-09-13,Zeeland East,Alpena,35,0
2025-09-15,New Market Huron Heights (CN),Barrie Maple Ridge (CN),47,0
2025-09-18,Detroit Communication Media Arts,Detroit Cody,20,26
2025-09-18,Detroit Northwestern,Detroit Denby,0,48
2025-09-18,Detroit Southeastern,Detroit Renaissance,32,8
2025-09-18,Windsor Holy Names (CN),Tecumseh St Annes (CN),45,0
2025-09-19,Ada Forest Hills Eastern,Wayland,27,16
2025-09-19,Addison,Vandercook Lake,16,17
2025-09-19,Adrian,Pinckney,40,18
2025-09-19,Akron Archbishop Hoban (OH),Lyndhurst Brush (OH),45,7
2025-09-19,Algonac,Almont,22,42
2025-09-19,Allegan,Kalamazoo Hackett Catholic Prep,10,48
2025-09-19,Allen Park,Brownstown Woodhaven,21,49
2025-09-19,Allen Park Cabrini,Clarkston Everest Collegiate,19,9
2025-09-19,Alpena,Cadillac,39,48
2025-09-19,Ann Arbor Huron,Ann Arbor Skyline,28,0
2025-09-19,Armada,Richmond,17,24
2025-09-19,Battle Creek Central,Portage Central,0,55
2025-09-19,Battle Creek Harper Creek,Battle Creek Pennfield,44,0
2025-09-19,Battle Creek Lakeview,Portage Northern,28,50
2025-09-19,Bay City Central,Midland,16,35
2025-09-19,Belding,Wyoming Kelloggsville,44,14
2025-09-19,Benton Harbor,Muskegon Catholic Central,26,27
2025-09-19,Benzie Central,Tawas,56,0
2025-09-19,Berkley,Ferndale,14,26
2025-09-19,Big Rapids,Howard City Tri County,63,6
2025-09-19,Birch Run,New Lothrop,21,31
2025-09-19,Birmingham Groves,Rochester,35,7
2025-09-19,Birmingham Seaholm,Oak Park,24,21
2025-09-19,Blissfield,Hudson,0,66
2025-09-19,Bloomfield Hills Cranbrook Kingswood,Grosse Pointe Woods University Liggett,35,7
2025-09-19,Boyne City,Kingsley,6,38
2025-09-19,Bridgeport,Alma,0,51
2025-09-19,Brighton,Hartland,17,7
2025-09-19,Brooklyn Columbia Central,Hanover-Horton,14,30
2025-09-19,Buchanan,Niles Brandywine,64,6
2025-09-19,Calumet,Menominee,15,25
2025-09-19,Canton,Novi,0,41
2025-09-19,Caro,Elkton-Pigeon-Bay Port Laker,14,26
2025-09-19,Cassopolis,Bronson,28,69
2025-09-19,Center Line,Marine City,14,50
2025-09-19,Center Line Prep Academy,Detroit University Prep,0,1
2025-09-19,Charlevoix,Oscoda,49,0
2025-09-19,Charlotte,Lansing Catholic,35,17
2025-09-19,Cincinnati Elder (OH),Louisville St Xavier (KY),26,24
2025-09-19,Cincinnati Moeller (OH),Cincinnati St Xavier (OH),30,13
2025-09-19,Clare,Gladwin,26,28
2025-09-19,Clarkson Football North (CN),Springfield St. James Performance Academy (VA),42,76
2025-09-19,Clawson,Hazel Park,20,48
2025-09-19,Clinton,Dundee,57,8
2025-09-19,Clinton Township Chippewa Valley,Romeo,21,28
2025-09-19,Clio,Owosso,26,21
2025-09-19,Coldwater,Jackson Northwest,45,20
2025-09-19,Comstock,Quincy,16,28
2025-09-19,Comstock Park,Holland,56,53
2025-09-19,Coopersville,Sparta,36,7
2025-09-19,Croswell-Lexington,North Branch,48,7
2025-09-19,Dearborn,Livonia Franklin,20,30
2025-09-19,Delton Kellogg,Lawton,13,42
2025-09-19,Detroit Catholic Central,Orchard Lake St Mary's,29,14
2025-09-19,Detroit Community,Arts & Technology Academy of Pontiac,28,22
2025-09-19,Detroit Country Day,Dearborn Divine Child,0,38
2025-09-19,Detroit Douglass,Detroit Central,0,78
2025-09-19,Detroit East English,Detroit Henry Ford,0,6
2025-09-19,Detroit Edison,Detroit Old Redford,18,6
2025-09-19,Detroit Leadership Academy,Hamtramck,6,36
2025-09-19,Detroit University Prep Science & Math,Lincoln Park,14,45
2025-09-19,Detroit Western,Detroit Mumford,0,28
2025-09-19,Dowagiac,Marshall,41,22
2025-09-19,Durand,Ovid-Elsie,28,31
2025-09-19,East Lansing,Okemos,22,13
2025-09-19,Eaton Rapids,Lake Odessa Lakewood,13,35
2025-09-19,Edwardsburg,Paw Paw,7,35
2025-09-19,Erie Mason,Edon (OH),6,54
2025-09-19,Fenton,Swartz Creek,49,0
2025-09-19,Flat Rock,Carleton Airport,36,0
2025-09-19,Flint Beecher,Sterling Heights Parkway Christian,12,40
2025-09-19,Flint New Standard Academy,Burton Atherton,26,13
2025-09-19,Flint Southwestern,Flint Hamady,6,50
2025-09-19,Flushing,Flint Kearsley,45,8
2025-09-19,Frankenmuth,Essexville Garber,61,0
2025-09-19,Frankfort,Mancelona,6,32
2025-09-19,Freeland,Flint Powers Catholic,48,7
2025-09-19,Fremont,Mason County Central,28,26
2025-09-19,Fruitport,Napoleon,42,12
2025-09-19,Galloway Westland (OH),DeWitt,28,38
2025-09-19,Garden City,Dearborn Heights Crestwood,10,41
2025-09-19,Garfield Heights (OH),Eastlake North (OH),48,17
2025-09-19,Gaylord,Petoskey,19,13
2025-09-19,Genesee,Burton Bentley,20,3
2025-09-19,Gladstone,Hancock,57,8
2025-09-19,Grand Blanc,Traverse City West,49,6
2025-09-19,Grand Rapids Christian,Spring Lake,24,21
2025-09-19,Grand Rapids Forest Hills Central,Wyoming,42,6
2025-09-19,Grand Rapids Forest Hills Northern,Grand Rapids Union,49,19
2025-09-19,Grand Rapids Kenowa Hills,Cedar Springs,49,35
2025-09-19,Grand Rapids Ottawa Hills,Middleville Thornapple Kellogg,6,42
2025-09-19,Grant,Reed City,0,35
2025-09-19,Grass Lake,Leslie,22,40
2025-09-19,Greenville,Allendale,34,13
2025-09-19,Grosse Pointe South,Harrison Township L'Anse Creuse,29,7
2025-09-19,Hamilton,Grand Rapids West Catholic,21,34
2025-09-19,Hamilton St Thomas More (CN),Hamilton St. Mary Catholic (CN),38,0
2025-09-19,Harper Woods Chandler Park,Detroit Voyageur College Prep,36,14
2025-09-19,Harrison,Beaverton,36,20
2025-09-19,Hartford,Decatur,0,48
2025-09-19,Hemlock,Saginaw Valley Lutheran,8,35
2025-09-19,Hillsdale,Adrian Madison,0,47
2025-09-19,Holland Christian,Grand Rapids Northview,28,35
2025-09-19,Holt,Grand Ledge,24,30
2025-09-19,Homer,Jonesville,23,38
2025-09-19,Houghton Lake,Manton,22,38
2025-09-19,Howards Grove (WI),Oostburg (WI),50,6
2025-09-19,Hudsonville,Holland West Ottawa,42,21
2025-09-19,Hudsonville Unity Christian,Zeeland East,50,12
2025-09-19,Ishpeming Westwood,Houghton,44,46
2025-09-19,Ithaca,Carrollton,68,6
2025-09-19,Jackson,Ypsilanti Community,28,50
2025-09-19,Jackson Lumen Christi,Detroit U of D Jesuit,41,6
2025-09-19,Johannesburg-Lewiston,Harbor Springs,12,45
2025-09-19,LaGrange Prairie Heights (IN),Churubusco (IN),12,39
2025-09-19,Laingsburg,Pewamo-Westphalia,6,56
2025-09-19,Lake City,LeRoy Pine River,22,41
2025-09-19,Lake Fenton,Goodrich,14,56
2025-09-19,Lake Orion,West Bloomfield,16,33
2025-09-19,Lansing Everett,Lansing Waverly,32,0
2025-09-19,Lansing Sexton,Olivet,25,34
2025-09-19,Lapeer,Flint Carman-Ainsworth,47,28
2025-09-19,Linden,Holly,42,6
2025-09-19,Livonia Churchill,Belleville,21,42
2025-09-19,Livonia Stevenson,Westland John Glenn,14,22
2025-09-19,Lombard Montini (IL),Oak Park Fenwick (IL),31,29
2025-09-19,Ludington,Muskegon Oakridge,52,0
2025-09-19,Lutheran Westland,Auburn Hills Oakland Christian,14,20
2025-09-19,Macomb Dakota,Sterling Heights Stevenson,28,14
2025-09-19,Macomb L'Anse Creuse North,Roseville,0,42
2025-09-19,Macomb Lutheran North,Detroit Loyola,35,6
2025-09-19,Manchester,Michigan Center,8,43
2025-09-19,Manistique,L'Anse,16,46
2025-09-19,Maple City Glen Lake,East Jordan,24,22
2025-09-19,Marinette (WI),Bonduel (WI),6,35
2025-09-19,Marlette,Ubly,22,42
2025-09-19,Marysville,Grosse Pointe North,28,13
2025-09-19,Mason,Haslett,14,21
2025-09-19,Mattawan,Kalamazoo Loy Norrix,27,20
2025-09-19,McBain,Beal City,7,42
2025-09-19,Midland Dow,Bay City Western,42,12
2025-09-19,Milan,New Boston Huron,24,48
2025-09-19,Milford,South Lyon,20,43
2025-09-19,Millington,Cass City,14,17
2025-09-19,Monroe Jefferson,Riverview,39,8
2025-09-19,Monroe St Mary Catholic Central,Grosse Ile,48,6
2025-09-19,Morley Stanwood,Lakeview,28,7
2025-09-19,Morris (IL),LaSalle-Peru (IL),48,0
2025-09-19,Mount Clemens,Melvindale Academy for Business & Tech,12,48
2025-09-19,Mount Pleasant Sacred Heart,Kalkaska,21,30
2025-09-19,Muskegon,Byron Center,46,17
2025-09-19,Muskegon Mona Shores,Muskegon Reeths-Puffer,48,7
2025-09-19,Muskegon Orchard View,Manistee,26,22
2025-09-19,Negaunee,Kingsford,21,35
2025-09-19,New Baltimore Anchor Bay,Utica Eisenhower,20,47
2025-09-19,New Haven,Clinton Township Clintondale,14,36
2025-09-19,New Lenox Lincoln Way West (IL),Lincoln-Way Central (IL),17,12
2025-09-19,New Market Huron Heights (CN),Courtice Holy Trinity Catholic (CN),47,6
2025-09-19,Niles,Otsego,57,27
2025-09-19,North Farmington,Bloomfield Hills,49,7
2025-09-19,North Muskegon,Hesperia,54,21
2025-09-19,Northville,Salem,37,23
2025-09-19,Ogemaw Heights,Shepherd,49,14
2025-09-19,Onsted,Ida,7,54
2025-09-19,Ortonville Brandon,Corunna,44,19
2025-09-19,Otisville LakeVille Memorial,Montrose,14,43
2025-09-19,Parma Western,Hastings,14,22
2025-09-19,Perry,Fowler,0,47
2025-09-19,Petersburg Summerfield,Montpelier (OH),0,27
2025-09-19,Pioneer North Central (OH),Ottawa Lake Whiteford,0,58
2025-09-19,Plymouth,Howell,14,49
2025-09-19,Pontiac Notre Dame Prep,Waterford Mott,53,19
2025-09-19,Port Huron,Fraser,24,0
2025-09-19,Portland,Ionia,1,0
2025-09-19,Reading,Sand Creek,26,6
2025-09-19,Redford Thurston,Dearborn Heights Annapolis,51,0
2025-09-19,Redford Union,Dearborn Heights Robichaud,8,0
2025-09-19,Remus Chippewa Hills,Newaygo,26,20
2025-09-19,River Rouge,Bloomfield Hills Brother Rice,8,45
2025-09-19,Riverview Gabriel Richard,Ann Arbor Father Gabriel Richard,0,56
2025-09-19,Rochester Adams,Oxford,33,6
2025-09-19,Rochester Hills Lutheran Northwest,Whitmore Lake,7,35
2025-09-19,Rochester Hills Stoney Creek,Harper Woods,27,28
2025-09-19,Rockford,East Kentwood,21,14
2025-09-19,Romulus,Melvindale,39,0
2025-09-19,Romulus Summit Academy North,Detroit Lincoln-King,35,0
2025-09-19,Roscommon,Evart,23,43
2025-09-19,Royal Oak,Livonia Clarenceville,38,6
2025-09-19,Saginaw Heritage,Davison,42,63
2025-09-19,Saginaw Nouvel Catholic Central,Saginaw Michigan Lutheran Seminary,27,14
2025-09-19,Saline,Dexter,61,34
2025-09-19,Sandusky,Burton Bendle,28,20
2025-09-19,Sanford Meridian,Pinconning,37,6
2025-09-19,Saranac,Dansville,47,0
2025-09-19,Saugatuck,Coloma,42,60
2025-09-19,Sault Ste Marie,Escanaba,7,53
2025-09-19,Schoolcraft,Galesburg-Augusta,53,28
2025-09-19,South Haven,Constantine,25,39
2025-09-19,Southfield Arts & Technology,Lowell,8,40
2025-09-19,Southgate Anderson,Wyandotte Roosevelt,20,21
2025-09-19,Springport,Vermontville Maple Valley,35,0
2025-09-19,St Clair,Eastpointe,45,0
2025-09-19,St Clair Shores South Lake,Sterling Heights,52,18
2025-09-19,St John Lake Central (IN),LaPorte (IN),16,27
2025-09-19,St Johns,Lansing Eastern,42,0
2025-09-19,St Joseph,Richland Gull Lake,46,7
2025-09-19,St Louis,Farwell,28,12
2025-09-19,Standish-Sterling,Midland Bullock Creek,13,20
2025-09-19,Stevensville Lakeshore,Kalamazoo Central,27,6
2025-09-19,Stockbridge,Union City,25,18
2025-09-19,Taylor,Dearborn Edsel Ford,16,8
2025-09-19,Tecumseh,Chelsea,6,35
2025-09-19,Three Rivers,Plainwell,21,7
2025-09-19,Toledo Central Catholic (OH),Warren De La Salle Collegiate,35,6
2025-09-19,Toledo Ottawa Hills (OH),West Unity Hilltop (OH),26,42
2025-09-19,Toledo St Francis De Sales (OH),Toledo St John's Jesuit (OH),21,29
